[CCR, PA, CCN, CCM, CCC, CC, CCA, M2C, C2M, CA, NCCO, RM, NA, CC2G, UR, QC, CC2G+CA, C2M+PA, CCN+PA, CC+RM, M2C+CCR, NCCO+PA, M2C+CCM, M2C+CCN, QC+M2C, CCC+CCN, CCC+CCM, C2M+CCR, UR+CCR, RM+CCN, CC+CCC, RM+CCM, C2M+CCN, CA+UR, CCA+UR, C2M+CCM, CC2G+RM, CC+C2M, CC+M2C, M2C+UR, CC+CCA, C2M+RM, CC+PA, CCN+M2C, CA+CCN, CA+CCM, CCC+RM, CC2G+UR, CA+RM, CA+CCA, RM+UR, CA+CCC, M2C+RM, CA+C2M, CA+M2C, C2M+CCA, C2M+UR, C2M+CCC, UR+CCA, CC+CCN, CC+CCM, M2C+CCC, M2C+CCA, CC2G+CCR, CCC+CCA, CCC+UR, CC2G+CCN, CC+UR, CC2G+CCM, CC2G+PA, CA+PA, CC2G+CCA, CC2G+C2M, CC2G+M2C, M2C+PA, CCA+CCN, CCA+CCM, CC2G+CC]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 31, 2, 90, 83, 2, 105, 239, 6, 5, 2, 20, 1, 523, 20, 227, 64, 192, 65, 18, 242, 42, 170, 134, 61, 63, 46, 141, 287, 43, 5, 66, 78, 148, 271, 19, 188, 40, 163, 24, 34, 5, 6, 257, 44, 1, 144, 167, 2, 5, 266, 195, 199, 78, 43, 220, 105, 221, 72, 239, 186, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 31, 2, 89, 91, 1, 112, 260, 2, 4, 3, 25, null, 526, 20, 222, 66, 191, 70, 25, 242, 44, 167, 153, 57, 66, 46, 141, 282, 46, 4, 66, 77, 148, 272, 20, 202, 34, 157, 31, 31, 5, 7, 255, 41, 1, 151, 167, 3, 2, 266, 199, 199, 78, 44, 220, 105, 221, 80, 252, 205, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 28, 1, 82, 90, 1, 119, 251, 2, 8, 5, 19, 1, 528, 20, 232, 71, 191, 62, 23, 242, 38, 160, 142, 50, 68, 45, 138, 288, 44, 8, 66, 81, 149, 271, 20, 193, 38, 162, 30, 33, 5, 6, 245, 34, 1, 156, 167, 5, 4, 266, 191, 199, 78, 46, 220, 105, 221, 74, 237, 187, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 31, null, 85, 90, 2, 123, 263, 3, 4, 1, 21, 1, 522, 20, 227, 64, 193, 71, 19, 242, 42, 169, 148, 56, 61, 44, 141, 291, 43, 4, 66, 82, 149, 272, 20, 208, 42, 165, 27, 27, 5, 9, 253, 42, 2, 161, 167, 1, 3, 266, 195, 199, 78, 48, 220, 105, 221, 80, 245, 191, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 30, 1, 82, 80, 2, 117, 258, 6, 5, 4, 26, 3, 531, 20, 229, 68, 190, 66, 20, 242, 39, 168, 140, 56, 66, 45, 139, 284, 47, 5, 66, 75, 146, 276, 20, 202, 38, 160, 27, 28, 5, 10, 249, 40, 2, 156, 167, 4, 3, 266, 192, 199, 78, 44, 220, 105, 221, 79, 238, 184, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 28, 1, 85, 74, 1, 115, 242, 5, 5, 3, 18, 4, 540, 20, 234, 63, 193, 68, 16, 242, 43, 169, 129, 58, 61, 43, 141, 290, 49, 5, 66, 84, 153, 271, 20, 183, 39, 166, 24, 26, 5, 7, 252, 42, 1, 146, 167, 3, 4, 266, 196, 199, 78, 46, 220, 105, 221, 73, 254, 194, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 32, 1, 79, 82, 3, 110, 240, 2, 7, 4, 31, 2, 516, 20, 216, 69, 196, 63, 23, 242, 37, 158, 137, 54, 69, 40, 139, 292, 47, 7, 66, 82, 152, 270, 19, 191, 43, 170, 33, 34, 5, 9, 246, 38, 1, 141, 167, 4, 5, 266, 193, 199, 78, 46, 220, 105, 221, 72, 247, 202, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 22, null, 83, 81, 2, 112, 245, 4, 6, 3, 17, 1, 529, 19, 225, 58, 196, 75, 19, 242, 37, 164, 144, 52, 55, 45, 144, 289, 43, 6, 66, 84, 144, 276, 20, 203, 42, 164, 23, 28, 5, 6, 251, 37, null, 145, 167, 3, 5, 266, 195, 199, 78, 51, 220, 105, 221, 80, 260, 201, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 32, 1, 87, 89, 2, 121, 251, 2, 5, 2, 19, 1, 532, 20, 228, 70, 195, 66, 22, 242, 40, 165, 135, 56, 68, 43, 141, 295, 51, 5, 66, 86, 154, 280, 20, 201, 40, 169, 28, 28, 5, 11, 252, 41, 1, 158, 167, 2, 4, 266, 193, 199, 78, 49, 220, 105, 221, 78, 246, 195, 122]
[678, 329, 2849, 183, 10, 3741, 621, 802, 282, 3731, 61, 2431, 2906, 330, 388, 2410, 122, 36, 2, 89, 98, 2, 111, 259, 1, 4, 3, 25, 3, 535, 20, 239, 66, 194, 65, 20, 242, 44, 170, 144, 59, 65, 49, 137, 288, 47, 4, 66, 81, 149, 279, 20, 202, 41, 163, 29, 23, 5, 12, 257, 43, 1, 152, 167, 3, 3, 266, 195, 199, 78, 46, 220, 105, 221, 75, 245, 192, 122]
