QtGui\.QApplIcation!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplicatioN!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplication\!UnicoAeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplicatio!\!UnicodeUTF8\
QtGui\!QApplIcation!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!transLate\, ?, None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!transLate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplicatio0\!UnicodeUTF8\
QtGUi\!QApplication!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGuI\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplIcation\!UnicodeUTF8\
QtGui\!QApplIcation!translate\, , None, QtGui\!QApplication\.UnicodeUTF8\
QtGUi\!QApplication.translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , NonE, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplicatioN\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplication\.UnicoDeUTF8\
QtG!i\!QApplication!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGUi\.QApplication!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplication\!Unico!eUTF8\
QtGui\!QApplication!translate\, , None, QtGui\!QApplication\!UnicoDeUTF8\
QtGui\!QAppl!cation!translate\, , None, QtGui\!QApplication\!UnicodeUTF8\
